satisfaction_level,last_evaluation,number_project,average_montly_hours,Work_accident,promotion_last_5years,salary,hire_date,move_date,end_date,leader_host,country_home,culture_home,country_host,culture_host,function_host,business Size_host,economic Perspective_host,fired_quit,buzz_bust
0.63,0.89,4,246,0,0,medium,17-Jan-05,30-Nov-09,27-Sep-15,well placed talent,venezuela,top-down,denmark,egalitarian,medical,sbu,positive,no,buzz
0.9,0.51,4,278,0,0,medium,30-Jun-08,00-Jan-00,29-Dec-14,consistent,colombia,top-down,united states,egalitarian,finance,united states,positive,no,buzz
1,0.84,5,138,0,0,medium,02-Jan-96,01-May-19,30-Apr-20,well placed talent,hungary,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.72,0.87,3,238,0,0,medium,03-Apr-06,01-Feb-16,31-Dec-19,key talent,taiwan,hierarquical,united states,egalitarian,finance,united states,positive,no,buzz
0.5,0.83,5,175,1,0,low,16-May-05,04-Nov-13,04-Nov-18,key talent,spain,hierarquical,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.9,0.67,4,216,0,0,low,14-Nov-94,01-Aug-16,31-Jul-17,consistent,italy,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.73,0.86,4,196,1,0,low,08-Jul-02,00-Jan-00,04-May-15,key talent,brazil,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.58,0.8,5,187,1,0,low,22-Jan-02,01-Jan-18,30-Sep-19,consistent,spain,hierarquical,united states,egalitarian,legal,united states,positive,no,buzz
0.24,0.85,4,155,0,0,low,01-Apr-05,01-Sep-14,31-Jul-18,consistent,italy,hierarquical,denmark,egalitarian,medical,sbu,positive,no,buzz
0.31,0.86,3,205,0,0,low,01-Dec-04,24-Jan-11,29-Dec-14,consistent,germany,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.74,0.63,3,230,0,0,low,20-Jun-05,03-Aug-15,03-Aug-18,well placed talent,spain,hierarquical,united states,egalitarian,human resources,united states,positive,no,buzz
0.9,0.69,5,157,0,0,low,23-Oct-95,01-Sep-14,15-Aug-19,consistent,italy,hierarquical,united states,egalitarian,regulatory affairs,united states,positive,no,buzz
0.5,0.8,4,287,0,0,low,01-Aug-05,29-Jul-13,31-Jul-16,key talent,norway,consensual,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.66,0.7,4,161,0,0,low,01-Jan-03,01-Apr-19,31-Mar-22,consistent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.21,0.76,5,239,0,0,low,01-Oct-99,01-Oct-12,00-Jan-00,consistent,germany,consensual,united states,egalitarian,operations,united states,positive,no,buzz
0.9,0.61,3,267,0,0,low,01-Dec-05,01-Sep-17,31-Aug-20,consistent,france,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.24,0.55,5,208,0,0,low,01-Jan-02,28-Apr-14,28-Apr-17,consistent,united states,egalitarian,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.66,0.95,3,133,0,0,low,10-Jan-00,30-Dec-13,30-Oct-16,consistent,slovakia,hierarquical,united states,egalitarian,finance,united states,positive,no,buzz
0.79,0.7,3,187,0,0,low,26-Apr-04,03-Jun-13,02-Oct-16,poor perfomer,ireland,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.67,0.61,4,140,0,0,low,20-Oct-08,28-Jan-13,26-Jun-16,consistent,russia,hierarquical,united states,egalitarian,medical,united states,positive,no,buzz
0.75,0.58,4,270,0,0,low,01-Dec-04,21-Apr-14,31-Jul-16,well placed talent,israel,hierarquical,denmark,egalitarian,finance,sbu,positive,no,buzz
0.9,0.48,3,147,0,0,low,01-Jan-11,02-Sep-13,02-Sep-16,consistent,bulgaria,top-down,united states,egalitarian,operations,united states,positive,no,buzz
0.64,0.71,3,181,0,0,low,02-Jul-03,02-Apr-12,26-Jun-16,consistent,belgium,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.51,0.53,3,156,0,0,low,27-May-02,29-Sep-14,29-Sep-19,well placed talent,ireland,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.98,0.5,4,207,0,0,low,08-Jun-98,28-Apr-14,29-Aug-16,well placed talent,italy,hierarquical,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.75,0.63,4,241,1,0,medium,14-Jun-04,01-Sep-18,31-Aug-21,consistent,portugal,top-down,united states,egalitarian,human resources,united states,positive,no,buzz
0.51,0.75,4,154,0,0,medium,15-Jul-02,29-Sep-14,30-Jun-18,well placed talent,ireland,top-down,united states,egalitarian,marketing,united states,positive,no,buzz
0.54,0.58,4,206,0,0,medium,05-Nov-01,02-Mar-15,02-Mar-16,key talent,italy,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
1,0.76,4,204,0,0,medium,22-Aug-05,30-Jul-12,04-Jan-16,well placed talent,ireland,top-down,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.44,0.9,4,117,0,0,medium,15-Mar-04,01-Jan-19,31-Dec-20,well placed talent,australia,egalitarian,united states,egalitarian,marketing,united states,positive,no,buzz
0.8,0.48,5,144,0,0,medium,07-Jul-03,02-Mar-15,01-Jan-17,consistent,colombia,top-down,united states,egalitarian,operations,united states,positive,no,buzz
0.9,0.77,3,156,0,0,medium,03-Mar-03,02-Mar-15,02-Mar-19,consistent,france,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.86,0.58,4,211,0,0,medium,15-May-03,02-Mar-15,01-Aug-17,well placed talent,netherlands,consensual,denmark,egalitarian,medical,sbu,positive,no,buzz
0.66,0.52,3,149,1,0,medium,30-Apr-07,22-Sep-14,22-Sep-16,well placed talent,canada,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.64,0.96,4,152,0,0,medium,01-Oct-01,04-May-15,30-Sep-19,key talent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.53,0.59,4,192,0,0,medium,01-Mar-06,01-Jan-17,31-Dec-19,key talent,germany,consensual,united states,egalitarian,communication,united states,positive,no,buzz
0.88,0.68,4,274,0,0,medium,01-Apr-06,03-Oct-16,03-Oct-19,well placed talent,germany,consensual,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.75,0.47,5,168,0,0,high,02-May-06,26-Aug-13,28-Aug-16,consistent,great britain,top-down,united states,egalitarian,finance,united states,positive,no,buzz
0.53,0.53,4,205,0,0,low,15-Jul-02,29-Sep-14,31-Jul-18,consistent,great britain,top-down,united states,egalitarian,marketing,united states,positive,no,buzz
0.83,0.77,3,228,0,0,medium,16-Oct-00,03-Aug-15,31-Jul-18,well placed talent,great britain,top-down,united states,egalitarian,marketing,united states,positive,no,buzz
0.24,0.52,4,228,0,0,medium,14-Dec-09,29-Jul-13,31-May-18,consistent,ireland,top-down,denmark,egalitarian,communication,sbu,positive,no,buzz
0.66,0.75,5,227,1,0,medium,30-May-05,01-Sep-17,31-Aug-20,well placed talent,italy,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.43,0.63,3,156,0,0,medium,17-Jul-06,03-Aug-15,30-Apr-17,consistent,colombia,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.8,0.66,5,177,0,0,low,14-Aug-06,01-Aug-11,04-Aug-14,consistent,united states,egalitarian,united states,egalitarian,marketing,united states,positive,no,buzz
0.42,0.89,6,188,1,0,low,01-Oct-06,01-Feb-18,31-Jan-20,consistent,germany,consensual,denmark,egalitarian,human resources,sbu,positive,no,buzz
0.54,0.74,3,185,0,0,low,01-Jul-91,01-Jul-13,00-Jan-00,well placed talent,spain,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.84,0.85,3,153,0,0,low,16-Oct-06,01-Sep-18,31-Aug-21,key talent,"korea, republic of",hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.9,0.79,4,174,0,0,low,25-Sep-06,01-Jul-17,30-Jun-20,consistent,turkey,top-down,united states,egalitarian,marketing,united states,positive,no,buzz
0.6,0.61,4,209,0,0,low,01-Sep-06,26-May-08,01-Sep-14,consistent,lithuania,top-down,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.9,0.71,3,251,1,0,low,01-Apr-05,30-Jan-12,29-Aug-16,consistent,germany,consensual,united states,egalitarian,medical,united states,positive,no,buzz
0.62,0.9,3,153,1,0,low,01-Jul-07,29-Aug-11,01-Oct-16,key talent,spain,hierarquical,united states,egalitarian,compliance,united states,positive,no,buzz
0.9,0.73,3,210,0,0,low,14-Nov-06,29-Sep-14,29-Sep-16,consistent,colombia,top-down,united states,egalitarian,market access,united states,positive,no,buzz
0.8,0.93,5,167,0,0,low,14-Nov-06,01-Dec-18,01-Jun-20,consistent,italy,hierarquical,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.86,0.94,3,151,0,0,low,29-Jan-07,01-Apr-13,29-May-16,key talent,france,hierarquical,united states,egalitarian,finance,united states,positive,no,buzz
0.9,0.73,3,158,0,0,low,12-Feb-07,02-Nov-15,31-Mar-19,consistent,great britain,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.9,0.76,3,116,0,0,low,04-Aug-08,31-Aug-15,31-Aug-18,consistent,united states,egalitarian,united states,egalitarian,finance,united states,positive,no,buzz
0.9,0.81,5,178,0,0,low,01-Mar-07,00-Jan-00,01-Dec-14,consistent,poland,consensual,denmark,egalitarian,operations,sbu,positive,no,buzz
0.98,0.78,4,155,1,0,low,19-Mar-07,02-Apr-12,01-Oct-16,well placed talent,turkey,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.65,0.89,3,151,0,0,low,01-Apr-07,01-Jun-15,31-May-19,consistent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.62,0.79,4,216,1,0,low,14-May-07,30-Dec-13,31-Mar-19,consistent,great britain,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.9,0.82,5,179,0,0,low,01-Feb-03,01-Mar-18,28-Feb-20,consistent,greece,consensual,denmark,egalitarian,finance,sbu,positive,no,buzz
0.75,1,4,135,0,0,low,03-Oct-11,01-Dec-18,30-Nov-19,well placed talent,united states,egalitarian,united states,egalitarian,human resources,united states,positive,no,buzz
0.82,0.63,4,232,0,0,low,30-Apr-07,03-Oct-11,31-Oct-14,key talent,australia,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.69,0.68,4,168,0,0,low,03-Jul-07,01-Apr-13,03-Oct-16,well placed talent,italy,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.41,0.96,6,171,1,0,medium,26-Mar-11,01-Jun-17,31-May-20,well placed talent,spain,hierarquical,denmark,egalitarian,finance,sbu,positive,no,buzz
0.53,0.64,5,258,0,0,medium,28-Mar-11,28-Mar-16,31-Jan-19,key talent,france,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.74,0.86,3,221,0,0,medium,01-Nov-11,30-Jun-14,31-Jul-20,key talent,france,hierarquical,united states,egalitarian,finance,united states,positive,no,buzz
0.5,0.96,5,97,0,0,medium,01-Dec-07,00-Jan-00,31-Aug-15,key talent,sweden,consensual,united states,egalitarian,regulatory affairs,united states,positive,no,buzz
0.8,0.69,3,164,0,0,medium,12-Nov-07,00-Jan-00,01-Dec-14,well placed talent,italy,hierarquical,denmark,egalitarian,market access,sbu,positive,no,buzz
0.82,0.9,4,237,0,0,medium,14-Jan-08,02-Sep-13,00-Jan-00,key talent,united states,egalitarian,united states,egalitarian,operations,united states,positive,no,buzz
0.59,0.65,5,161,0,0,medium,01-Jan-08,02-Mar-15,02-Sep-15,well placed talent,germany,consensual,united states,egalitarian,human resources,united states,positive,no,buzz
0.98,0.8,4,134,1,0,medium,14-Jan-08,26-May-08,01-Nov-18,well placed talent,united states,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.93,0.94,4,188,0,0,medium,02-Sep-13,29-Sep-14,30-Sep-15,well placed talent,france,hierarquical,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.49,0.95,4,181,0,0,medium,19-Mar-08,01-Dec-14,03-Nov-15,consistent,turkey,top-down,united states,egalitarian,communication,united states,positive,no,buzz
0.6,0.94,4,160,0,0,medium,01-Apr-08,01-Jan-19,01-Jan-21,well placed talent,japan,hierarquical,united states,egalitarian,market access,united states,positive,no,buzz
0.34,0.7,6,197,1,0,medium,07-Oct-09,02-Feb-15,31-Oct-16,poor perfomer,brazil,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.71,0.77,3,145,0,0,high,18-Jul-05,01-Aug-18,31-Jul-21,well placed talent,south africa,consensual,denmark,egalitarian,bts,sbu,positive,no,buzz
0.6,0.64,5,221,0,0,low,01-May-08,24-Jan-11,03-Aug-15,well placed talent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.5,0.78,6,260,0,0,medium,02-Jun-08,01-Aug-17,23-Apr-20,key talent,united states,egalitarian,united states,egalitarian,human resources,united states,positive,no,buzz
0.16,0.87,3,99,1,0,medium,09-Jun-08,29-Dec-14,29-Dec-16,well placed talent,spain,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.57,0.61,3,243,0,0,medium,30-Jul-08,01-Feb-17,31-Jan-20,well placed talent,ireland,top-down,denmark,egalitarian,operations,sbu,positive,no,buzz
0.72,0.8,5,244,0,0,medium,21-Jul-08,30-Jun-14,30-Jun-17,well placed talent,hungary,consensual,united states,egalitarian,medical,united states,positive,no,buzz
0.9,0.55,4,179,0,0,low,19-Jul-13,30-Mar-15,01-Jun-19,consistent,ukraine,consensual,united states,egalitarian,finance,united states,positive,no,buzz
0.95,0.49,4,146,1,0,low,02-Aug-14,31-Aug-15,31-Aug-18,well placed talent,france,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.71,0.9,3,262,1,0,low,15-Oct-08,25-Aug-14,31-Jul-16,key talent,netherlands,consensual,denmark,egalitarian,finance,sbu,positive,no,buzz
0.9,0.69,4,174,0,0,low,17-Nov-08,03-Aug-15,03-Aug-16,key talent,estonia,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.66,0.81,4,148,0,0,low,01-Oct-08,24-Oct-11,15-Dec-14,consistent,australia,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.5,0.59,5,235,0,0,low,10-Nov-08,30-May-11,29-Sep-14,key talent,sweden,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.9,0.82,5,285,1,0,low,12-Jan-09,01-Jun-15,31-Oct-17,consistent,united states,egalitarian,denmark,egalitarian,legal,sbu,positive,no,buzz
0.9,0.79,4,143,0,0,low,01-Dec-08,04-Aug-14,31-Dec-16,consistent,colombia,top-down,united states,egalitarian,medical,united states,positive,no,buzz
0.9,0.82,6,141,0,0,low,16-Mar-09,04-Nov-13,31-Oct-17,consistent,sweden,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.84,0.47,3,125,0,0,low,01-Oct-10,01-Dec-18,31-Dec-19,well placed talent,lebanon,consensual,united states,egalitarian,human resources,united states,positive,no,buzz
0.9,0.51,4,232,0,0,low,16-Mar-09,01-Apr-18,01-Apr-20,consistent,taiwan,hierarquical,denmark,egalitarian,regulatory affairs,sbu,positive,no,buzz
0.54,0.72,3,172,0,0,low,16-Mar-09,01-Jul-17,31-Dec-17,key talent,hungary,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.64,0.42,5,283,0,0,low,27-Apr-09,25-Jul-11,03-Jan-16,consistent,spain,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.67,0.68,3,189,0,0,low,09-Jul-12,00-Jan-00,29-Dec-14,consistent,united states,egalitarian,united states,egalitarian,operations,united states,positive,no,buzz
0.48,0.54,2,144,0,0,low,15-May-09,03-Oct-16,10-Feb-17,consistent,germany,consensual,denmark,egalitarian,operations,sbu,positive,no,buzz
0.58,0.77,4,145,1,0,low,22-May-09,02-Apr-12,00-Jan-00,consistent,spain,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.54,0.59,3,200,0,0,low,01-Sep-09,00-Jan-00,02-Feb-15,consistent,germany,consensual,united states,egalitarian,finance,united states,positive,no,buzz
0.25,0.65,3,264,0,0,low,20-Jul-09,29-Jun-15,30-Jun-18,poor perfomer,south africa,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.9,0.53,3,215,0,0,low,13-Jul-09,27-Jan-14,00-Jan-00,consistent,germany,consensual,denmark,egalitarian,medical,sbu,positive,no,buzz
0.48,0.39,4,272,0,0,low,28-Sep-09,28-Sep-09,31-May-18,well placed talent,united states,egalitarian,united states,egalitarian,finance,united states,positive,no,buzz
0.9,0.9,5,142,0,0,low,12-Oct-09,01-Nov-18,31-Oct-21,consistent,france,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.75,0.53,5,240,0,0,medium,02-Oct-09,01-May-18,31-Dec-18,consistent,south africa,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.95,0.66,4,168,0,0,medium,16-Nov-09,01-May-18,31-Dec-18,well placed talent,sweden,consensual,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.73,0.55,4,171,0,0,medium,04-Jan-10,00-Jan-00,04-May-15,well placed talent,france,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.9,0.7,3,159,0,0,medium,21-Apr-10,29-Aug-11,31-Aug-17,consistent,germany,consensual,united states,egalitarian,human resources,united states,positive,no,buzz
0.89,0.61,3,175,0,0,medium,01-Jan-11,03-Oct-11,30-Sep-14,well placed talent,germany,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.7,0.97,4,244,0,0,medium,01-Oct-10,25-Mar-13,03-Mar-20,key talent,france,hierarquical,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.98,0.57,3,198,0,0,medium,01-Oct-01,04-Mar-13,29-Feb-16,well placed talent,germany,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.72,0.65,5,151,0,0,medium,20-May-02,03-Nov-14,31-Jul-19,well placed talent,ireland,top-down,united states,egalitarian,marketing,united states,positive,no,buzz
0.49,0.69,2,188,0,0,medium,01-Sep-11,01-Oct-12,31-Oct-17,consistent,lithuania,top-down,united states,egalitarian,operations,united states,positive,no,buzz
0.15,0.85,3,199,0,0,medium,25-Jan-13,00-Jan-00,14-Nov-14,consistent,india,top-down,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.57,0.96,4,257,0,0,medium,25-Jun-12,01-Aug-18,31-Jul-19,well placed talent,russia,hierarquical,united states,egalitarian,medical,united states,positive,no,buzz
0.21,0.81,4,144,0,0,medium,11-Jan-12,02-Mar-15,31-Jul-18,well placed talent,italy,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.5,0.57,4,275,0,0,high,15-Jun-10,01-Jun-17,30-May-20,key talent,australia,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.56,0.55,3,243,0,0,low,07-Mar-11,27-Jun-16,26-Jun-19,key talent,ireland,top-down,denmark,egalitarian,communication,sbu,positive,no,buzz
0.81,0.66,3,181,1,0,medium,07-Sep-10,01-Jun-18,31-May-20,well placed talent,canada,egalitarian,united states,egalitarian,marketing,united states,positive,no,buzz
0.9,0.59,5,172,0,0,medium,16-Aug-10,01-Sep-18,31-Aug-21,consistent,portugal,top-down,united states,egalitarian,finance,united states,positive,no,buzz
0.9,0.97,3,244,0,0,medium,09-Jan-10,01-Jul-19,30-Jun-22,consistent,norway,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.76,0.51,4,242,0,0,medium,23-Aug-10,31-Aug-15,31-Aug-18,well placed talent,norway,consensual,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.9,0.81,3,249,0,0,low,01-Sep-10,01-Nov-17,01-Apr-18,consistent,south africa,consensual,united states,egalitarian,communication,united states,positive,no,buzz
0.38,0.81,5,128,1,0,low,01-Oct-10,28-Sep-15,28-Sep-18,well placed talent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.46,0.49,3,213,0,0,low,01-Mar-11,25-Jul-11,01-May-16,consistent,singapore,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.34,0.57,4,152,1,0,low,24-Jan-11,29-Feb-16,31-Dec-19,consistent,united states,egalitarian,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.63,0.76,4,245,0,0,low,07-Feb-11,31-Aug-15,31-Aug-19,consistent,canada,egalitarian,united states,egalitarian,human resources,united states,positive,no,buzz
0.57,0.56,4,113,0,0,low,30-Jan-11,01-Feb-16,01-Feb-17,well placed talent,mexico,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.5,0.76,4,280,0,0,low,22-Mar-11,28-Mar-16,27-Mar-19,key talent,taiwan,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
0.8,0.67,3,273,1,0,low,09-Jul-12,00-Jan-00,01-Sep-14,consistent,venezuela,top-down,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.59,0.56,4,221,1,0,low,09-Jul-12,00-Jan-00,29-Dec-14,consistent,united states,egalitarian,united states,egalitarian,marketing,united states,positive,no,buzz
0.49,0.61,5,133,0,0,low,01-Apr-11,01-Mar-18,28-Feb-21,consistent,france,hierarquical,united states,egalitarian,medical,united states,positive,no,buzz
0.5,0.58,3,136,1,0,low,09-Jul-12,01-Sep-18,29-Feb-20,key talent,united states,egalitarian,united states,egalitarian,compliance,united states,positive,no,buzz
0.61,0.71,4,243,1,0,low,01-Jun-11,01-May-17,30-Apr-20,consistent,spain,hierarquical,denmark,egalitarian,market access,sbu,positive,no,buzz
0.9,0.79,5,135,0,0,low,06-Jun-11,01-Aug-17,01-Aug-18,consistent,south africa,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.74,0.63,3,231,0,0,low,20-Jun-11,01-Feb-16,01-Feb-19,key talent,united states,egalitarian,united states,egalitarian,finance,united states,positive,no,buzz
0.9,0.98,3,259,0,0,low,01-Jul-11,01-Apr-18,31-Mar-20,consistent,germany,consensual,united states,egalitarian,commercial,united states,positive,no,buzz
0.69,0.66,3,238,0,0,low,11-Jul-11,04-Aug-14,04-Aug-17,consistent,united states,egalitarian,denmark,egalitarian,finance,sbu,positive,no,buzz
0.8,0.71,3,210,0,0,low,11-Jul-11,01-Dec-17,30-Jun-18,consistent,russia,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.44,0.4,3,120,0,0,low,19-Sep-11,01-Jan-18,31-Dec-20,well placed talent,united states,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.6,0.56,2,203,0,0,low,01-Sep-11,01-May-19,30-Apr-21,consistent,japan,hierarquical,united states,egalitarian,commercial,united states,positive,no,buzz
0.8,0.88,4,148,0,0,low,03-Oct-11,28-Jul-14,00-Jan-00,consistent,sweden,consensual,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.9,0.54,4,258,0,0,low,31-Oct-11,01-Feb-17,30-Nov-19,consistent,united states,egalitarian,united states,egalitarian,finance,united states,positive,no,buzz
0.97,0.5,3,225,0,0,medium,21-Oct-11,01-Aug-18,31-Jul-19,well placed talent,finland,egalitarian,united states,egalitarian,human resources,united states,positive,no,buzz
0.99,0.75,4,208,0,0,medium,10-Nov-11,02-Nov-15,02-Nov-18,key talent,brazil,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.96,0.82,4,274,0,0,medium,01-Jan-12,01-Sep-14,01-Sep-18,well placed talent,switzerland,egalitarian,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.24,0.7,5,147,1,0,medium,10-Jan-12,01-Jun-18,31-May-21,well placed talent,hungary,consensual,united states,egalitarian,finance,united states,positive,no,buzz
0.5,0.55,2,167,0,0,medium,08-Feb-12,25-Aug-14,25-Aug-18,key talent,france,hierarquical,united states,egalitarian,operations,united states,positive,no,buzz
0.74,0.96,4,154,0,0,medium,01-Apr-12,01-Dec-17,31-Dec-18,key talent,poland,consensual,united states,egalitarian,finance,united states,positive,no,buzz
0.6,0.98,4,195,0,0,medium,07-Jul-14,04-Jan-16,01-Jan-17,key talent,united states,egalitarian,denmark,egalitarian,regulatory affairs,sbu,positive,no,buzz
0.67,0.56,3,237,0,0,medium,07-Jul-14,04-Jan-16,03-Jan-17,well placed talent,united states,egalitarian,united states,egalitarian,market access,united states,positive,no,buzz
0.57,0.99,4,222,0,0,medium,01-Jul-12,31-Aug-15,31-Aug-20,key talent,switzerland,egalitarian,united states,egalitarian,operations,united states,positive,no,buzz
0.87,0.71,5,145,0,0,medium,18-Jun-12,01-Jan-18,31-Dec-20,well placed talent,canada,egalitarian,united states,egalitarian,human resources,united states,positive,no,buzz
0.25,0.83,3,257,1,0,medium,14-May-12,04-May-15,04-May-18,well placed talent,france,hierarquical,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.98,0.84,3,286,0,0,medium,28-May-12,30-May-16,30-May-19,well placed talent,ireland,top-down,united states,egalitarian,marketing,united states,positive,no,buzz
0.3,0.64,2,137,0,0,high,01-Jul-12,00-Jan-00,29-Dec-14,consistent,france,hierarquical,united states,egalitarian,communication,united states,positive,no,buzz
0.21,0.52,5,130,0,0,low,05-Jul-12,04-Aug-14,04-Aug-18,well placed talent,singapore,hierarquical,united states,egalitarian,market access,united states,positive,no,buzz
0.56,0.7,3,214,0,0,medium,11-Jul-16,01-Jul-18,30-Jun-21,poor perfomer,united states,egalitarian,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.75,0.96,3,138,0,0,medium,01-Jul-12,01-Mar-18,30-Apr-19,well placed talent,germany,consensual,united states,egalitarian,bts,united states,positive,no,buzz
0.5,0.77,3,166,0,0,medium,16-Jul-12,01-Jan-19,30-Jun-20,well placed talent,colombia,top-down,united states,egalitarian,commercial,united states,positive,no,buzz
0.61,0.92,4,159,0,0,medium,19-Sep-12,01-Sep-18,31-Aug-20,key talent,belgium,consensual,united states,egalitarian,human resources,united states,positive,no,buzz
0.83,0.59,5,160,0,0,low,27-Aug-12,28-Nov-16,30-Apr-19,well placed talent,ireland,top-down,denmark,egalitarian,marketing,sbu,positive,no,buzz
0.66,0.76,3,155,1,0,low,17-Sep-12,31-Aug-15,31-Aug-17,well placed talent,united states,egalitarian,united states,egalitarian,operations,united states,positive,no,buzz
0.84,0.68,3,231,0,0,low,15-Oct-12,04-Jan-16,03-Jan-17,well placed talent,japan,hierarquical,united states,egalitarian,medical,united states,positive,no,buzz
0.9,0.57,4,227,0,0,low,01-Oct-12,01-Oct-18,31-Dec-19,consistent,germany,consensual,united states,egalitarian,finance,united states,positive,no,buzz
0.48,0.37,3,181,0,0,low,08-Oct-12,28-Mar-16,28-Sep-16,well placed talent,switzerland,egalitarian,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.84,0.79,4,222,0,0,low,15-Nov-12,01-Jul-17,30-Jun-20,key talent,germany,consensual,united states,egalitarian,finance,united states,positive,no,buzz
0.5,0.71,3,196,0,0,low,01-Jan-13,01-Mar-17,28-Feb-20,key talent,germany,consensual,united states,egalitarian,marketing,united states,positive,no,buzz
0.67,0.93,3,206,0,0,low,01-Jul-13,31-Aug-15,31-Aug-16,consistent,united states,egalitarian,united states,egalitarian,commercial,united states,positive,no,buzz
0.5,0.93,6,257,1,0,low,26-Nov-12,29-Dec-14,31-Dec-15,key talent,united states,egalitarian,denmark,egalitarian,commercial,sbu,positive,no,buzz
0.9,0.67,5,153,0,0,low,23-Nov-12,04-Jan-16,03-Jan-19,consistent,spain,hierarquical,united states,egalitarian,legal,united states,positive,no,buzz
0.17,0.59,5,250,0,0,low,03-Dec-12,28-Sep-15,30-Sep-17,consistent,united states,egalitarian,united states,egalitarian,medical,united states,positive,no,buzz
0.58,0.66,3,250,0,0,low,14-Jan-13,01-Jul-17,30-Jun-19,consistent,singapore,hierarquical,united states,egalitarian,marketing,united states,positive,no,buzz
